sku,stock,fecha
A226,0,2024-01-01
A226,135,2024-02-01
A226,0,2024-03-01
A226,0,2024-04-01
A226,0,2024-05-01
A226,0,2024-06-01
A226,0,2024-07-01
A226,0,2024-08-01
A226,0,2024-09-01
A226,0,2024-10-01
A226,0,2024-11-01
A226,0,2024-12-01
A227,22977,2022-01-01
A227,30492,2022-02-01
A227,45468,2022-03-01
A227,28005,2022-04-01
A227,76501,2022-05-01
A227,125320,2022-06-01
A227,197604,2022-07-01
A227,183926,2022-08-01
A227,140134,2022-09-01
A227,104289,2022-10-01
A227,58011,2022-11-01
A227,117049,2022-12-01
A227,91638,2023-01-01
A227,86827,2023-02-01
A227,120617,2023-03-01
A227,93206,2023-04-01
A227,56389,2023-05-01
A227,45846,2023-06-01
A227,16327,2023-07-01
A227,30384,2023-08-01
A227,38440,2023-09-01
A227,20652,2023-10-01
A227,34817,2023-11-01
A227,34925,2023-12-01
A227,50550,2024-01-01
A227,12110,2024-02-01
A227,5893,2024-03-01
A227,57794,2024-04-01
A227,67256,2024-05-01
A227,79853,2024-06-01
A227,67039,2024-07-01
A227,66120,2024-08-01
A227,27248,2024-09-01
A227,18652,2024-10-01
A227,18490,2024-11-01
A227,83204,2024-12-01
A228,1298,2022-01-01
A228,26113,2022-02-01
A228,147973,2022-03-01
A228,114508,2022-04-01
A228,80934,2022-05-01
A228,60984,2022-06-01
A228,60227,2022-07-01
A228,57632,2022-08-01
A228,56713,2022-09-01
A228,103587,2022-10-01
A228,67418,2022-11-01
A228,33357,2022-12-01
A228,11083,2023-01-01
A228,4704,2023-02-01
A228,2595,2023-03-01
A228,2433,2023-04-01
A228,0,2023-05-01
A228,2433,2023-06-01
A228,1892,2023-07-01
A228,865,2023-08-01
A228,0,2023-09-01
A228,1135,2023-10-01
A228,0,2023-11-01
A228,0,2023-12-01
A228,0,2024-01-01
A228,0,2024-02-01
A228,1027,2024-03-01
A228,0,2024-04-01
A228,0,2024-05-01
A228,0,2024-06-01
A228,0,2024-07-01
A228,0,2024-08-01
A228,0,2024-09-01
A228,0,2024-10-01
A228,757,2024-11-01
A228,0,2024-12-01
A229,0,2022-01-01
A229,7493,2022-02-01
A229,10645,2022-03-01
A229,35743,2022-04-01
A229,60780,2022-05-01
A229,52038,2022-06-01
A229,83737,2022-07-01
A229,72080,2022-08-01
A229,60661,2022-09-01
A229,65122,2022-10-01
A229,56142,2022-11-01
A229,59413,2022-12-01
A229,48172,2023-01-01
A229,51146,2023-02-01
A229,40738,2023-03-01
A229,30390,2023-04-01
A229,11478,2023-05-01
A229,2676,2023-06-01
A229,6720,2023-07-01
A229,7434,2023-08-01
A229,22659,2023-09-01
A229,9872,2023-10-01
A229,13857,2023-11-01
A229,16117,2023-12-01
A229,21707,2024-01-01
A229,6720,2024-02-01
A229,8921,2024-03-01
A229,14273,2024-04-01
A229,15046,2024-05-01
A229,26584,2024-06-01
A229,17128,2024-07-01
A229,22778,2024-08-01
A229,8386,2024-09-01
A229,13143,2024-10-01
A229,11835,2024-11-01
A229,28784,2024-12-01
A230,20399,2022-01-01
A230,35921,2022-02-01
A230,34553,2022-03-01
A230,20994,2022-04-01
A230,19150,2022-05-01
A230,18436,2022-06-01
A230,17485,2022-07-01
A230,16950,2022-08-01
A230,16236,2022-09-01
A230,44069,2022-10-01
A230,37348,2022-11-01
A230,35743,2022-12-01
A230,34910,2023-01-01
A230,33304,2023-02-01
A230,34375,2023-03-01
A230,33423,2023-04-01
A230,33423,2023-05-01
A230,32947,2023-06-01
A230,28309,2023-07-01
A230,21172,2023-08-01
A230,14333,2023-09-01
A230,1189,2023-10-01
A230,1130,2023-11-01
A230,892,2023-12-01
A230,178,2024-01-01
A230,0,2024-02-01
A230,0,2024-03-01
A230,0,2024-04-01
A230,0,2024-05-01
A230,0,2024-06-01
A230,0,2024-07-01
A230,0,2024-08-01
A230,0,2024-09-01
A230,0,2024-10-01
A230,0,2024-11-01
A230,0,2024-12-01
A231,0,2022-01-01
A231,0,2022-02-01
A231,0,2022-03-01
A231,0,2022-04-01
A231,0,2022-05-01
A231,0,2022-06-01
A231,0,2022-07-01
A231,0,2022-08-01
A231,0,2022-09-01
A231,0,2022-10-01
A231,521,2022-11-01
A231,0,2022-12-01
A231,0,2023-01-01
A231,0,2023-02-01
A231,0,2023-03-01
A231,0,2023-04-01
A231,0,2023-05-01
A231,0,2023-06-01
A231,0,2023-07-01
A231,0,2023-08-01
A231,0,2023-09-01
A231,0,2023-10-01
A231,0,2023-11-01
A231,0,2023-12-01
A231,0,2024-01-01
A231,0,2024-02-01
A231,0,2024-03-01
A231,0,2024-04-01
A231,0,2024-05-01
A231,0,2024-06-01
A231,0,2024-07-01
A231,0,2024-08-01
A231,0,2024-09-01
A231,0,2024-10-01
A231,0,2024-11-01
A231,0,2024-12-01
A232,0,2022-01-01
A232,0,2022-02-01
A232,0,2022-03-01
A232,0,2022-04-01
A232,0,2022-05-01
A232,0,2022-06-01
A232,0,2022-07-01
A232,0,2022-08-01
A232,0,2022-09-01
A232,0,2022-10-01
A232,0,2022-11-01
A232,0,2022-12-01
A232,0,2023-01-01
A232,0,2023-02-01
A232,0,2023-03-01
A232,1591,2023-04-01
A232,1123,2023-05-01
A232,0,2023-06-01
A232,0,2023-07-01
A232,0,2023-08-01
A232,187,2023-09-01
A232,0,2023-10-01
A232,0,2023-11-01
