sku,fecha,demanda
A3,2023-02-20,1188
A3,2023-02-27,0
A3,2023-03-06,0
A3,2023-03-13,329
A3,2023-03-20,0
A3,2023-03-27,25
A3,2023-04-03,25
A3,2023-04-10,51
A3,2023-04-17,455
A3,2023-04-24,0
A3,2023-05-01,25
A3,2023-05-08,25
A3,2023-05-15,0
A3,2023-05-22,1036
A3,2023-05-29,0
A3,2023-06-05,1567
A3,2023-06-12,0
A3,2023-06-19,0
A3,2023-06-26,0
A3,2023-07-03,0
A3,2023-07-10,0
A3,2023-07-17,0
A3,2023-07-24,0
A3,2023-07-31,0
A3,2023-08-07,0
A3,2023-08-14,0
A3,2023-08-21,0
A3,2023-08-28,0
A3,2023-09-04,0
A3,2023-09-11,0
A3,2023-09-18,0
A3,2023-09-25,0
A3,2023-10-02,0
A3,2023-10-09,0
A3,2023-10-16,0
A3,2023-10-23,0
A3,2023-10-30,0
A3,2023-11-06,0
A3,2023-11-13,0
A3,2023-11-20,0
A3,2023-11-27,0
A3,2023-12-04,0
A3,2023-12-11,0
A3,2023-12-18,0
A3,2023-12-25,0
A3,2024-01-01,0
A3,2024-01-08,0
A3,2024-01-15,0
A3,2024-01-22,0
A3,2024-01-29,0
A3,2024-02-05,25
A3,2024-02-12,0
A3,2024-02-19,0
A3,2024-02-26,0
A3,2024-03-04,0
A3,2024-03-11,0
A3,2024-03-18,0
A3,2024-03-25,0
A3,2024-04-01,0
A3,2024-04-08,0
A3,2024-04-15,0
A3,2024-04-22,0
A3,2024-04-29,0
A3,2024-05-06,0
A3,2024-05-13,0
A3,2024-05-20,0
A3,2024-05-27,0
A3,2024-06-03,0
A3,2024-06-10,0
A3,2024-06-17,0
A3,2024-06-24,0
A3,2024-07-01,0
A3,2024-07-08,0
A3,2024-07-15,0
A3,2024-07-22,0
A3,2024-07-29,0
A3,2024-08-05,0
A3,2024-08-12,0
A3,2024-08-19,0
A3,2024-08-26,0
A3,2024-09-02,0
A3,2024-09-09,0
A3,2024-09-16,0
A3,2024-09-23,0
A3,2024-09-30,0
A3,2024-10-07,0
A3,2024-10-14,0
A3,2024-10-21,0
A3,2024-10-28,0
A3,2024-11-04,0
A3,2024-11-11,0
A3,2024-11-18,0
A3,2024-11-25,0
A3,2024-12-02,0
A3,2024-12-09,0
A3,2024-12-16,0
A3,2024-12-23,0
A3,2024-12-30,0
A4,2022-01-03,2059
A4,2022-01-10,17970
A4,2022-01-17,23478
A4,2022-01-24,16702
A4,2022-01-31,37963
A4,2022-02-07,56795
A4,2022-02-14,42504
A4,2022-02-21,26400
A4,2022-02-28,37030
A4,2022-03-07,22510
A4,2022-03-14,54894
A4,2022-03-21,93896
A4,2022-03-28,84850
A4,2022-04-04,14520
A4,2022-04-11,8272
A4,2022-04-18,29445
A4,2022-04-25,44211
A4,2022-05-02,3942
A4,2022-05-09,21771
A4,2022-05-16,27174
A4,2022-05-23,23302
A4,2022-05-30,29621
A4,2022-06-06,22739
A4,2022-06-13,36379
A4,2022-06-20,5614
A4,2022-06-27,13570
A4,2022-07-04,14784
A4,2022-07-11,19747
A4,2022-07-18,23285
A4,2022-07-25,59136
A4,2022-08-01,22651
A4,2022-08-08,53522
A4,2022-08-15,29286
A4,2022-08-22,31328
A4,2022-08-29,38931
A4,2022-09-05,23021
A4,2022-09-12,17354
A4,2022-09-19,13446
A4,2022-09-26,22370
A4,2022-10-03,13587
A4,2022-10-10,6477
A4,2022-10-17,10701
A4,2022-10-24,31891
A4,2022-10-31,10226
A4,2022-11-07,19554
A4,2022-11-14,26294
A4,2022-11-21,37523
A4,2022-11-28,11722
A4,2022-12-05,13710
A4,2022-12-12,17582
A4,2022-12-19,89355
A4,2022-12-26,15365
A4,2023-01-02,3995
A4,2023-01-09,1954
A4,2023-01-16,493
A4,2023-01-23,80661
A4,2023-01-30,60738
A4,2023-02-06,7234
A4,2023-02-13,9469
A4,2023-02-20,24446
A4,2023-02-27,25590
A4,2023-03-06,27984
A4,2023-03-13,21490
A4,2023-03-20,8237
A4,2023-03-27,19624
A4,2023-04-03,6301
A4,2023-04-10,45373
A4,2023-04-17,21701
A4,2023-04-24,30747
A4,2023-05-01,8131
A4,2023-05-08,55810
A4,2023-05-15,28160
A4,2023-05-22,15224
A4,2023-05-29,18462
A4,2023-06-05,51832
A4,2023-06-12,32525
A4,2023-06-19,14362
A4,2023-06-26,26242
A4,2023-07-03,18040
A4,2023-07-10,19395
A4,2023-07-17,26488
A4,2023-07-24,37118
A4,2023-07-31,18040
A4,2023-08-07,64821
A4,2023-08-14,46658
A4,2023-08-21,39477
A4,2023-08-28,39248
A4,2023-09-04,28829
A4,2023-09-11,15418
A4,2023-09-18,2922
A4,2023-09-25,9258
A4,2023-10-02,12320
A4,2023-10-09,14467
A4,2023-10-16,41712
A4,2023-10-23,11440
A4,2023-10-30,1478
A4,2023-11-06,1813
A4,2023-11-13,19096
A4,2023-11-20,37435
A4,2023-11-27,19501
A4,2023-12-04,35622
A4,2023-12-11,11757
A4,2023-12-18,14362
A4,2023-12-25,4347
A4,2024-01-01,19923
A4,2024-01-08,34742
A4,2024-01-15,36626
A4,2024-01-22,40339
A4,2024-01-29,29568
A4,2024-02-05,23056
A4,2024-02-12,15893
A4,2024-02-19,61037
A4,2024-02-26,43754
A4,2024-03-04,56760
A4,2024-03-11,25115
A4,2024-03-18,12584
A4,2024-03-25,14485
A4,2024-04-01,1074
A4,2024-04-08,6706
A4,2024-04-15,15242
A4,2024-04-22,13042
A4,2024-04-29,25379
A4,2024-05-06,3080
A4,2024-05-13,26629
A4,2024-05-20,15506
A4,2024-05-27,29656
A4,2024-06-03,15154
A4,2024-06-10,10261
A4,2024-06-17,16597
A4,2024-06-24,44669
A4,2024-07-01,15840
A4,2024-07-08,37330
A4,2024-07-15,13306
A4,2024-07-22,32208
A4,2024-07-29,21014
A4,2024-08-05,40938
A4,2024-08-12,17653
A4,2024-08-19,26682
A4,2024-08-26,88317
A4,2024-09-02,22880
A4,2024-09-09,55739
A4,2024-09-16,17389
A4,2024-09-23,12742
A4,2024-09-30,7920
A4,2024-10-07,5333
A4,2024-10-14,4312
A4,2024-10-21,23707
A4,2024-10-28,3062
A4,2024-11-04,4418
A4,2024-11-11,11018
A4,2024-11-18,1778
A4,2024-11-25,2182
A4,2024-12-02,7586
A4,2024-12-09,21014
A4,2024-12-16,87261
A4,2024-12-23,36256
A4,2024-12-30,70717
A5,2022-01-03,5772
A5,2022-01-10,11337
A5,2022-01-17,14830
A5,2022-01-24,3404
A5,2022-01-31,31080
A5,2022-02-07,9650
A5,2022-02-14,14711
A5,2022-02-21,10271
A5,2022-02-28,19862
A5,2022-03-07,11070
A5,2022-03-14,42950
A5,2022-03-21,25367
A5,2022-03-28,37089
A5,2022-04-04,6216
A5,2022-04-11,7430
A5,2022-04-18,21164
A5,2022-04-25,32856
A5,2022-05-02,1569
A5,2022-05-09,8081
A5,2022-05-16,21046
A5,2022-05-23,0
A5,2022-05-30,19743
A5,2022-06-06,3315
A5,2022-06-13,18234
A5,2022-06-20,16754
A5,2022-06-27,5713
A5,2022-07-04,10982
A5,2022-07-11,5417
A5,2022-07-18,3108
A5,2022-07-25,36882
A5,2022-08-01,1332
A5,2022-08-08,10153
A5,2022-08-15,17523
A5,2022-08-22,16191
A5,2022-08-29,13646
A5,2022-09-05,2930
A5,2022-09-12,5091
A5,2022-09-19,5180
A5,2022-09-26,8850
A5,2022-10-03,43009
A5,2022-10-10,33389
A5,2022-10-17,60295
A5,2022-10-24,92885
A5,2022-10-31,5417
A5,2022-11-07,22614
A5,2022-11-14,47242
A5,2022-11-21,22170
A5,2022-11-28,6157
A5,2022-12-05,9472
A5,2022-12-12,36941
A5,2022-12-19,19536
A5,2022-12-26,22230
A5,2023-01-02,22437
A5,2023-01-09,3049
A5,2023-01-16,0
A5,2023-01-23,29067
A5,2023-01-30,2516
A5,2023-02-06,2427
A5,2023-02-13,1006
A5,2023-02-20,4706
A5,2023-02-27,59
A5,2023-03-06,9442
A5,2023-03-13,55322
A5,2023-03-20,47360
A5,2023-03-27,29422
A5,2023-04-03,15540
A5,2023-04-10,21815
A5,2023-04-17,16310
A5,2023-04-24,39990
A5,2023-05-01,13350
A5,2023-05-08,14948
A5,2023-05-15,16458
A5,2023-05-22,17050
A5,2023-05-29,24538
A5,2023-06-05,20365
A5,2023-06-12,29304
A5,2023-06-19,7015
A5,2023-06-26,19092
A5,2023-07-03,4233
A5,2023-07-10,28090
A5,2023-07-17,20158
A5,2023-07-24,23858
A5,2023-07-31,13350
A5,2023-08-07,27794
A5,2023-08-14,48929
A5,2023-08-21,11870
A5,2023-08-28,27410
A5,2023-09-04,13794
A5,2023-09-11,11988
A5,2023-09-18,7844
